French,English/Yoruba
amusant,fun/igbadun
passez,pass/k?ja
rues,streets/ita
risques,risks/Ewu
émission,emission/igba itusil? kan
leçon,lesson/ik?k?
annonce,announcement/ikede
louis,Louis/Louis
imaginer,imagine/ronu
chauffeur,driver/awako
marque,brand/?ya
fesses,buttocks/idi
souvenirs,memories/ìrántí
senti,felt/ro
jeté,thrown/ju
réveiller,wake/ji
hiver,winter/igba otutu
également,also/p?lu
souffle,breath/eemi
arbres,trees/Aw?n igi
saute,jumped up/fo soke
fuir,flee/ferege
meme,same/kanna
casser,to break/lati f?
mentir,lie/ir?
sir,sir/l
no,no/k?
caisse,box/apoti
andy,Andy/Atiyi
lunettes,eyeglasses/Aw?n gilaasi
menteur,liar/onir? obinrin
trouvera,will find/yoo wa
semblant,semblance/ikelese
ignorais,ignorant/alaim?
perdue,lost/ti s?nu
whisky,whiskey/whiskey
rentrez,come back/pada wa
premiers,first/akoko
menace,threat/ihal?
auront,will have/yoo ni
perte,loss/ipadanu
verrez,will see/yoo ri
front,forehead/iwaju-ori
lèvres,lips/ète
mai,may/le
connaissais,knew/m?
gouverneur,governor/gomina
chou,cabbage/eso kabeeji
secrétaire,secretary/ak?we obinrin
écris,wrote/kowe
parlent,talk/s?r?
chaise,chair/ijoko
herbe,grass/koriko
créé,created/ti ??da
manteau,coat/a?? fakop?
études,studies/kawe
ballon,ball/b??lu
mène,led/yori
respire,breath/eemi
japonais,Japanese/Japanese
laisserai,will leave/yoo l? kuro
innocent,innocent/laij?bi
véritable,TRUE/otit?
devenue,become/di
piège,trap/panp?
gloire,glory/ogo
pourraient,could/Le
abri,shelter/ile
explique,Explain/?alaye
fonctionne,works/?i??
pensées,thoughts/ero
fantôme,ghost/iwin
lancer,throw/ju
suit,follows/t?le
changement,change/yipada
choc,shock/ijaya
veste,jacket/a?? kootu kekere
faveur,favor/ojurere
oreille,ear/eti
touchez,touch/f?w?kan
malheureusement,unfortunately/lairi
soudain,suddenly/lojiji
mensonge,lie/ir?
heureusement,fortunately/loriire
emploi,use/lo
nettoyer,to clean/lati nu
attrape,caught/mu
geste,gesture/ifarajuwe
corde,rope/okun
sacrée,sacred/si mim?
siècle,century/?run ?dun
etat,state/ipo
distance,distance/jinna
refusé,refuse/k?
alerte,alert/itaniji
ennuie,bored/ki o sun
remonte,traced back/traced pada
plaisante,pleasant/it?l?run
city,City/Ilu
images,images/aworan
voulaient,wanted/f?
titres,securities/aw?n aabo
moments,moments/asiko
big,big/titobi
atteindre,reach/de
singe,monkey/aaya
frontière,frontier/taxiti
ours,bear/?ranko esi
prisonniers,prisoners/aw?n ?l?w?n
allemand,German/J?mánì
dan,dan/dani
couche,lying down/dubul?
relations,relations/?bí
delà,of the/ti
navire,ship/?k? oju-omi
bite,cock/akuk?
aube,dawn/m?jum?
affreux,awful/buburu
camarade,comrade/olukopa ?kunrin
street,street/opopona
inquiéter,worry/daamu
fatiguée,tired/ti r?
entreprise,company/ile-i??
demandes,requests/Aw?n ibeere
nana,girl/?m? obinrin
coincé,stuck up/di soke
tenu,tenuous/aito
viré,fired/da ?k?
suspect,suspicious/ifura
ressens,feeling/im?lara
directement,directly/Taara
marine,Marine/Omi
prisonnier,prisoner/?l?w?n obinrin
étoile,star/iraw?
jean,Jeans/Sokoto
convaincre,to convince/lati parowa
filer,spin/ran
pousser,push/Ti
protection,protection/idaabobo
signé,sign/aami
crier,to cry out/Lati kigbe
rêvé,dream/ala
respirer,breathe/?mi
propriétaire,owner/oniwun ?kunrin
permettre,to permit/lati y??da
carl,carl/?k? irin
commis,clerk/o?i?? obinrin
laver,wash/f?
hollywood,Hollywood/Hollywood
jeff,Jeff/Jeff
réfléchis,reflected/?e afihan
hais,haz/ikuuku
tir,shot/yinb?n
mac,mac/mac
donnerai,will give/yoo fun
reviendrai,will come back/yoo pada wa
larmes,tears/omigebe
Arthur,Arthur/Ab
pigé,pig/?l?d?
réserve,Reserve/Fipam?
adam,Adam/Aparin Adam
volant,flying/fifo
uniforme,uniform/riri bakanna
différents,different/yat?
maudit,damn/Gbaga
valise,suitcase/apo
prendrai,will take/yoo gba
assurance,assurance/aridaju
abandonné,abandoned/k?
navré,heartbroken/?kan ninu ?kan
prennent,takes/gba
montagnes,mountains/oke oke
juifs,Jews/Aw?n Ju
espérais,hoped/nireti
information,information/alaye
foyer,foyer/hot??li
tourné,turned/yipada
permettez,Allow/Gba laaye
amitié,friendship/ir?p?
concert,concert/aj?dun orin
extraordinaire,extraordinary/ju
davantage,any further/eyikeyi siwaju
saviez,knew/m?
chargé,charged/gba agbara
recommence,start again/b?r? l??kansi
piano,piano/duuru
jouez,play/mu ?i??
ayant,having/nini
ravie,tight/fifun
miles,miles/maili
vierge,virgin/wundia
mauvaises,bad/buburu
objet,object/nnkan
adorable,adorable/iw?rable
chine,China/?aina
réputation,reputation/oruk?
lieux,premises/aw?n agbegbe ile
russes,Russian/Ara ilu R?sia
murs,walls/Odi
etes,are/j?
troupes,troops/aw?n ?m? ogun
bague,Ring/Oruka
cellule,cell/padi
Susan,Susan/Susan
survivre,survive/ye
trouverai,will find/yoo wa
printemps,spring/igba omi
voisins,neighbors/aw?n aladugbo
nuits,nights/oru
chances,odds/aw?n aid?gba
contrôler,control/?akoso
voyais,saw/wo
ancienne,Ancient/Atij?
théorie,theory/alaye
avancez,Advance/Il?siwaju
studio,studio/ile i?ere
exploser,explode/bu gbamu
explosion,blast/ik?lu
fiancée,fiancee/fiwa?eni
évident,obvious/daju
gardé,kept/t?ju
Annie,Annie/Annie
témoins,witnesses/?l?ri
désir,desire/if?
humanité,humanity/?da eniyan
amen,Amen/Amin
palais,palace/aafin
cirque,circus/agbegbe
cinglé,crazy/a?iwere
conduis,driven/gb?
sales,dirty/id?ti
traces,traces/waki
station,station/ibudo
construire,build/k?
joey,Joey/Weey
siège,headquarters/ile olori
Kelly,Kelly/Kelly
semblait,seemed/dabi ?ni
lourd,heavy/wuwo
lá,the/aw?n
égal,equal/deede
surveille,monitoring/àfi?e
poule,chicken/adi?
devraient,should/y?
soif,thirst/oungbe
haine,hate/korira
surveiller,to watch/lati wo
ted,ted/tid
marin,marine/omi
traité,treaty/maj?mu
vivent,live/gbigbe laaye
entière,whole/gbogbo
résultat,result/abajade
préparé,prepare/gbaradi
top,top/oke
enchantée,Nice to meet you/Inu mi dun lati pade yin
gardien,guardian/olut?ju ?kunrin
traite,treaty/maj?mu
commun,commmon/common
pêche,sin/???
tien,yours/Tir?
posé,laid/ti gbe
libérer,to free/si ?f?
gamins,kids/aw?n ?m? w?w?
taule,jail/?w?n
retournez,return/pada
médicaments,medications/oogun
crâne,skull/agbari
débile,stupid/omug?
délicieux,delicious/aladun
ed,ED/Ed
king,King/?ba
liquide,liquid/omi
réglé,rule/dari
gay,gay/onibaje
répéter,repeat/tun
auprès,with/p?lu
tâche,task/i??
plu,enjoyed/gbadun
joueur,player/o?ere obinrin
aurons,will have/yoo ni
up,up/oke
traiter,treat/?esi
secteur,sector/?ka
appelée,called/ti pe
roman,novel/iwe akak?gb?n
veille,day before/?j? ?aaju
étudier,to study/lati iwadi
physique,physical/tara
passait,passed/koja
concours,competition/idije
jaune,yellow/y?lo
victor,Victor/Abowa
vision,vision/iwoye
black,black/dudu
lentement,slowly/laiyara
dick,dick/di igi
matt,matt/nitori
kilomètres,kilometers/kilomita
sers,serve/iran??
vivante,lively/?l?yaya
spéciale,special/pataki
prof,teacher/oluk? ?kunrin
poissons,Pisces/Pisces
bosser,work/i??
cherchais,sought/wa
empire,empire/oril? ?ba
cigarettes,cigarettes/siga
devrions,should/y?
atteint,hit/lu
infirmière,nurse/n??si
descendez,Go down/L? sil?
baisse,decrease/dinku
rare,rare/til?
sauvage,wild/egan
virer,fire/ina
fumée,smoke/ruufin
engagé,engaged/kopa
cloche,Bell/Agogo
brian,brian/biriki
magique,Magic/Idan
chers,Dear/Oluf?
comité,committee/aj??gbim?
jaloux,jealous/ojowu
rouges,red/pupa
ambulance,ambulance/?k? alaisan
rentrée,back to school/Pada si ile-iwe
anne,Anne/Anne
cochon,pig/?l?d?
roger,Roger/Roger
particulier,particular/nipataki
journaliste,journalist/ak?rohin ?kunrin
croix,cross/rek?ja
pareille,likely/?ee?e
royaume,kingdom/ij?
disparaître,to disappear/lati farasin
jus,juice/omi ?san
comte,county/agbegbe
sainte,holy/mim?
soucis,worry/daamu
allemagne,Germany/J?mánì
patience,patience/suuru
fallu,owl/owiwi
net,net/aw?n
suivez,follow/t?le
attendait,was waiting/n duro de
embrasse,kiss/f?nuko
bouffe,food/ounj?
scénario,script/iwe ?dun
endroits,locations/Aw?n ipo
brûler,burn/ina
nommé,appointed/yan
hall,lobby/?d?d?
réalisé,realized/yege
terry,Terry/Terry
enlevé,removed/y? kuro
profond,deep/jijin
réussir,to succeed/lati ?a?ey?ri
répond,respond/fesi
emmené,taken/ya
cadeaux,gifts/?bun
remonter,go back up/l? s?hin
accompagner,accompany/ba rinp?
pot,jar/ikoko
lien,link/?na asop?
imaginez,Imagine/Ronu
excusez,Excuse/Gafara
trompé,deceived/tan
cadavre,corpse/oku
bouton,button/b?tini
centaines,hundreds/?g??g?run
poussière,dust/eruku
piscine,pool/adagun-odo
entraînement,coaching/ik?k?
terminée,finished/ti pari
esprits,spirits/aw?n ?mi
inviter,invite/fiwepe
imagination,imagination/oju inu
existence,existence/iwalaye
empereur,emperor/oloye
décide,decided/pinnu
eric,Eric/Eric
ascenseur,lift/gbe soke
criminel,criminal/?daran
terres,lands/aw?n il?
promesse,promise/ileri
craint,fear/ijaya
croyait,believed/gbagb?
courrier,mail/meeli
écran,screen/iboju
anciens,old -fashioned/oge atijo
cris,cries/igbe
passes,passes/k?ja
combattre,combat/ijakadi
réveille,wake up/jii dide
souffre,suffer/jiya
malheureux,unfortunate/lori buburu
brisé,broken/fif?
garage,garage/gareji
russie,Russia/Russia
bêtes,beasts/?ranko
tenter,to attempt/lati gbiyanju
passent,pass/k?ja
ferez,will do/ma a se
pub,pub/pub
version,version/?ya
permet,allow/gba laaye
parte,part/apakan
section,section/abala
propriété,property/ohun-ini
étrangers,foreigners/aw?n alejò
finis,finish/pari
erreurs,errors/a?i?e
examen,review/atuny?wo
nation,nation/oril?-ede
approchez,approach/sunm?
différentes,different/yat?
cap,cap/fila
meurtres,murders/aw?n ipaniyan
juré,sworn/bura
chic,chic/idije
aimerait,would like/yoo f?
sable,sand/erup?
lutte,struggle/tiraka
is,is/j?
japon,Japan/Ilu ilu Japan
ya,ya/ya
indiens,Indian/Ara ilu Indiani ?kunrin
restent,remain/wa
seins,tits/ori?i
étonnant,amazing/iyal?nu
uns,some/di? ninu
inventé,invented/ti ??da
ment,is lying/j? eke
pratique,convenient/r?run
idéal,ideal/bo?ey?
maîtresse,mistress/oluwa
fume,smoke/ruufin
équipage,crew/?gb? aw?n atuk?
crie,calls out/aw?n ipe jade
laura,laura/Laura
commission,commission/ififunni
boit,drinking/mimu
bombes,bombs/aw?n ?sun
figure,figure/n?nba
revolver,revolver/agbat?
crème,cream/ipara
rat,rat/ekute
tempête,storm/efuufu
refaire,remake/atun?e
née,born/bibi
supporte,support/atil?yin
voyait,saw/wo
fuite,leak/s? a?iri
nationale,national/Oril?-ede
estomac,stomach/ikun
machines,machines/?r?
emily,Emily/Emily
ouah,Wow/Iro ohun
bijoux,jewelry/ohun ???
lâcher,let go/j? ki o l?
couleurs,colors/Aw?n aw?
Wilson,Wilson/Wilson
incendie,fire/ina
camarades,comrades/aw?n alabadoko
médecins,doctors/aw?n dokita
peinture,painting/kikun
reconnaître,to acknowledge/lati gba
dollar,dollar/dola
coupez,cut/ge
prénom,first name/Oruk? ak?k?
puce,chip/ge kuro
prier,pray/gbadura
voisin,neighbor/alabagbele
officiers,officers/aw?n olori
bains,baths/aw?n iw?
démon,demon/ànj??nu?
pierres,stones/okuta
miroir,mirror/digi
lumières,lights/Aw?n ina
actrice,actress/o?ere
jouait,played/dun
vérifie,checked/?ay?wo
comportement,behaviour/i?esi
aient,have/ni
nôtres,ours/tiwa
obtenu,obtained/gba
Ryan,Ryan/Ryan
boss,boss/?ga ?kunrin
parier,to bet/lati t?t?
correct,correct/peye
septembre,september/o?u K?san
libres,free/?'ofo
appellent,call/pe
repose,rests/isimi
protège,protected/daabobo
tasse,Cup/Ife
pensée,thought/ero
salaire,salary/owo i??
bagnole,car/?k? ay?k?l?
jolies,pretty/?l?wa
récompense,reward/ère
essayons,let's try/J? ki a gbiyanju
musée,Museum/Ile-?n?
bébés,babies/aw?n ?m?
plaisantes,pleasant/it?l?run
échappé,escape/sa kuro
fausse,fake/?bu
jury,jury/igbim?-onigb?j?
approcher,approach/sunm?
espagne,Spain/Ajum??e
aprés,after/l?hin
condition,condition/ipo
vend,sells/ta
masque,mask/iboju
appellerai,will call/yoo pe
pouvoirs,powers/agbara
annoncer,announce/ikede
origine,origin/orisun
apprends,learn/k? ?k?
poitrine,chest/aya
tape,tape/teepu
remis,discarded/asonu
couvert,covered/bori
large,wide/f?
pressé,press/ju
nu,naked/ihoho
loup,wolf/aja igbo
urgent,urgent/kiakia
vélo,bike/keke
armé,armed/ti ologun
flotte,fleet/?k?lu
foutez,chatter/olu kolu
oeufs,eggs/?yin
élève,student/?m? ile-iwe ?kunrin
daniel,Daniel/Daniel
êtres,beings/omi
minable,shabby/shabby
cérémonie,ceremony/ay?y?
gordon,gordon/gordon
salauds,bastard/?m? ale
disque,disk/disiki
résoudre,to resolve/lati yanju
scientifique,scientist/ak?k? im?-jinl? obinrin
colle,glue/ohun
lady,lady/iyaafin
maximum,maximum/o p?ju
installer,to install/lati fi sori ?r?
blessés,wounded/gb?gb?
effort,effort/akitiyan
iras,IRAS/Ipon
commandement,commandment/ofin
panne,breakdown/ko ?i??
visiter,to visit/b?wò
venais,came/wa
pointe,point/aaye
moque,mocking/n?a?i??
chambres,bedrooms/aw?n yara iy?wu
convaincu,convinced/daniloju
raisonnable,within reason/Laarin idi
aiiez,AIIZ/Aiiz
rencontrés,met/pade
qualité,quality/didara
irait,would go/yoo l?
joseph,joseph/Jotán
esclave,slave/?ru obinrin
milliards,billion/bili?nu
oeuvre,artwork/i?? ada?e
bible,Bible/Bibeli
boule,ball/b??lu
sacs,bags/aw?n baagi
avocats,lawyers/aw?n amofin
meurent,die/ku
union,union/?gb?
sally,sally/sally
blesser,hurt/i?ele?e
taylor,Taylor/Taylor
maggie,Maggie/Maggie
malades,sick/?aar?
jungle,jungle/igbo
jugement,judgement/idaj?
essai,essay/arosi
écrivain,writer/oluk?we
digne,worthy/t?si
vérifié,checked/?ay?wo
brûlé,burnt/sal?
sauté,jumped up/fo soke
enterrement,burial/isinku
prenne,take/mu
engager,to hire/lati b?w?
rayon,Ray/Itansan
traître,traitor/?l?t?
berlin,Berlin/Berlin
orange,orange/?san
voudras,will want/yoo f?
sentais,Smelt/Mu siga
élèves,students/?m? ile-iwe
faisaient,were doing/n ?e
partage,share/pin
légende,legend/itan-ak??l?
voleurs,thieves/aw?n ?l?sà
fruits,fruits/unr?r?
préviens,warn/kil?
policiers,policeman/?l?pa
meilleures,best/dara jul?
cassette,cassette/kas?ti
sommet,Mountain peak/Oke tente oke
remplacer,replace/r?po
objets,objects/aw?n ohun
cage,cage/ile-?y?
saurais,would be/yoo j?
limite,limit/opin
ailes,wings/iy?
explication,explanation/alaye
floride,Florida/Florida
condamné,sentenced/ti ?j?
recule,recuis/gba ohun
bénisse,bless/ibukun
associé,associated/ni nkan ?e
auteur,author/onk?we ?kunrin
écouté,listen/t?tisi
sorcière,witch/aj?
adulte,adult/agbalagba
communauté,community/agbegbe
éducation,education/eto ?k?
ramené,brings back/mu pada
bagarre,fight/ija
escalier,stairs/abagunke
désire,longed for/Tiun fun
kilos,pounds/poun
véhicule,vehicle/?k?
wayne,wayne/Wayne
chasser,hunt/??d?
bottes,boots/orunkun
objectif,purpose/idi
patients,patients/aw?n alaisan
respecte,respect/ib?w?
colline,hill/apata
effets,effects/aw?n ipa
blessure,wound/egbo
messages,messages/Aw?n ifiran??
crimes,crimes/odari
moscou,Moscow/Irugbin il?
voudra,will want to/yoo f? lati
domaine,domain/ìpá-a??
organisation,organization/agbari
aimable,friendly/?r?
forts,strong/lagbara
eue,eue/eee
voyager,"to travel/lati rin irinajo, Rin irinajo"
arrestation,arrest/mule
fasses,make/?e
pizza,pizza/pizza
dossiers,files/aw?n faili
tunnel,tunnel/oju eefin
voudrez,will want/yoo f?
roses,roses/aw?n Roses
poursuivre,pursue/lepa
ranger,tidy/it?ju
aidera,will help/yoo ran
tours,towers/ile-i??
retire,took of/mu ti
autorisation,permission/igbalaaye
risqué,risk/ewu
hitler,Hitler/Hitler
rond,round/yika
anges,angels/Aw?n ang?li
soutien,support/atil?yin
rentres,return/pada
tokyo,Tokyo/Tokyo
proposition,proposal/iwe igb?k?le
soirs,evenings/ir?l?
ministère,ministry/?fiisi alakoso
magazine,magazine/magasini
verres,glasses/digi
échec,failure/ikuna
plaire,to please/lati wu
miller,miller/mn?r
cons,cons/kosi
drapeau,flag/asia
possède,possesses/ni anfani
production,production/i?el?p?
précieux,precious/oniye-lori
religion,religion/?sin
épreuve,test/idanwo
retenir,retain/mudani
Frankie,Frankie/Frankie
pisser,piss/piss
Barry,Barry/Bamu
circonstances,circumstances/alaye
kong,kong/kong
mignonne,cute/wuyi
excellence,Excellency/Gabida
auto,car/?k? ay?k?l?
do,do/?e
enterré,buried/sin
tandis,while/igba pip?
duc,duke/dupe
pêre,dad/baba
ooo,ooo/ooo
charme,charm/tun?e
arrangé,arranged/?eto
guitare,guitar/jita
Sophie,Sophie/Soplie
Jesse,Jesse/Jesse
Bruce,Bruce/Burk
Sara,Sara/Sara
Luke,Luke/Luku
taper,type/t?
critique,critical/?e pataki
secrète,secret/ik?k?
terminer,to end/lati pari
hauteur,height/giga
comédie,comedy/awada
cimetière,graveyard/ibi-isinku ayika ile-ij?sin
cardiaque,heart/?kan
fêter,to celebrate/lati ?e ay?y?
occupée,busy/n?i?? l?w?
géniale,brilliant/ja
limites,limits/aw?n idiw?n
précis,precise/?eg?g?
plateau,tray/?p?n
viendrai,will come/yoo wa
rempli,completed/pari
clairement,clearly/kedere
intérêts,interests/nifesi
langage,speech/?r?
aides,aid/iranw?
feux,fires/fi ab?
Betty,Betty/T?t?
incapable,unable/alailagbara
mercredi,Wednesday/?j?-aye
souffrance,suffering/ijiya
posez,Place/Ibi
ali,Ali/Amule
fenêtres,Windows/Windows
électrique,electric/ina m?nam?na
rentrons,Let's go back/J? ki a pada s?hin
Harvey,Harvey/Harvey
produits,products/Aw?n ?ja
grace,grace/oore-?f?
bleus,blue/bulu
yeah,Yeah/B??ni
saches,know/m?
national,national/Oril?-ede
avenue,avenue/?na gbooro
evidemment,obviously/han gbangba
reçois,receive/gba w?le
collier,necklace/?gba
séance,session/ijoko
placard,closet/k?s??t?
criminels,criminals/aw?n ?daràn
irais,go/l?
sandwich,sandwich/san-wi?
boston,Boston/?ranko-gbigbo
places,places/aw?n aaye
moral,moral/iwara
mêre,mother/iya
stanley,Stanley/Stanley
trouvait,found/ri
auparavant,previously/t?l?
personnellement,personally/tiwani
fièvre,fever/ibà
actes,acts/i??
amant,lover/oluf?
concernant,re/tun
las,the ace/ace
ferons,will do/ma a se
cherchent,they search/W?n wa
exécution,execution/ipaniyan
ann,Ann/Eniyan
pédé,fag/fagi
prière,pray/gbadura
hélas,Alas/Alas
bateaux,boats/?k? oju-omi kekere
allaient,were going/n l?
durer,last/k?ja
alarme,alarm/itaniji
commencez,start/b?r?
furent,were/j?
prenait,taking/mu
brad,brad/bà
entièrement,entirely/patapata
médecine,medicine/òògùn
sensible,sensitive/ni ikanra
poudre,powder/iy?fun
finale,final/igb?hin
durs,hard/lile
esclaves,slaves/?rú
beurre,butter/b?ta
documents,documents/Aw?n iwe a??
taré,tare/ture
rick,rick/rib?
détail,retail/fun soora
mettent,put/fisi
congrès,Congress/Apej?p?
épaule,shoulder/ejika
final,final/igb?hin
métro,Metro/Metro
serment,oath/ibura
pardonne,forgiven/idariji
espagnol,Spanish/Ara ilu Spanish
supérieur,superior/onipele
w,W/W
rires,laughter/?rin
tuez,kill/pa
œufs,eggs/?yin
portefeuille,wallet/ohun apam?w?w?
internet,Internet/Intan??ti
expert,expert/im?ran
foutue,fucked up/buruku
rita,rita/rita
réalisateur,director/oludari obinrin
entraîner,lead/adari
martha,martha/Marta
congé,leave/fi ibikan sil?
finira,will end/yoo pari
caméras,cameras/aw?n kam?ra
sauce,sauce/amohundun
balance,balance/iw?ntunw?nsi
extrêmement,extremely/opin
âmes,souls/?mi
commerce,trade/i?owo
salopard,bastard/?m? ale
dette,debt/gbese
admettre,admit/gba
producteur,producer/a?agbejade
attendons,let's wait/J? ki a duro
brise,broken/fif?
juin,june/o?u K?fa
chats,cats/ologbo
remets,put back/fi ?hin pada
Pasteur,Pastor/Alufaa
alliez,combine/dap?
portrait,portrait/aworan
by,by/nipas?
lancé,spear/?k?
diamants,diamonds/okuta iyebiye
juger,judge/onidaj?
renseignements,information/alaye
loué,rented/yalo
travaux,works/?i??
poussé,pushed/ti ti l?
division,division/pinpin
invitation,invitation/ifiwepe
repartir,divide/pin
trous,holes/iho
rappelez,recall/da pada
totale,total/apap?
solide,solid/lagbara
Willie,Willie/Willie
fermée,closed/ti paade
munitions,ammunition/ohun-ija
neveu,nephew/?m?kunrin-arakunrin
téléphoner,call/pe
briser,to break/lati f?
bonbons,candy/taba
blé,wheat/?ka
puits,well/daradara
termine,completed/pari
monstres,monsters/aw?n ohun ibanil?ru
écraser,to crush/Lati fifun pa
espérons,hope/ireti
changera,will change/yoo yipada
adultes,adults/aw?n agbalagba
restée,remained/o wa
fierté,pride/igberaga
pari,bet/t?t?
cessez,stop/Duro
Elizabeth,Elizabeth/Elizabeth
exige,required/beere
Jackie,Jackie/Yakita
Marty,Marty/Martyy
vic,vic/vic
semblez,appear/han
gérer,manage/?akoso
désirez,wish/if?
lampe,lamp/Atupa
causer,cause/idi
comptez,count/ka
rouler,to roll/lati yiyi
filmer,film/fiimu
rapporte,report/ijab?
sourd,deaf/aditi
rage,rage/ibinu
Mamie,Granny/Owo-granny
trahi,betrayed/fi sil?
biens,goods/aw?n ?ru
Lewis,Lewis/Lewis
créatures,creatures/aw?n ?da
militaires,military/ologun
blessures,wounds/aw?n ?gb?
Louise,Louise/?r?
grant,grant/y??da
étudié,studied/k?k?
courez,run/?i?e
soins,care/it?ju
Canada,Canada/Kagan
dépêche,dispatch/fifiran?? si
dégoûtant,disgusting/irira
molly,molly/mogbly
Davis,Davis/Davis
pervers,pervert/eekan
échelle,ladder/akaba
adorer,love/nif?
orchestre,orchestra/orchestra
cadavres,corpses/oku
emprunter,borrow/yawo
exprimer,to express/lati ?alaye
caractère,character/i?esi obinrin
signes,signs/ami
commençons,Let's start/J? ká b?r?
généreux,generous/oninuunre
méchants,bad guys/eniyan buburu
formation,training/Idanileko
bâton,stick/?k?
immense,immense/titobi jul?
mangez,eat/j?un
passant,passing/k?ja
Ruth,Ruth/Rulu
min,min/min
plaque,plate/awo
espion,spy/ajiniwo
connue,known/m?
eaux,waters/omi
deviennent,become/di
cruel,cruel/buru
citoyens,citizens/ara ilu
von,von/von
tension,tension/aibal?
ranch,ranch/?gba ?ranko
Karen,Karen/Karen
organiser,arrange/?eto
étonne,surprised/ya
terroristes,terrorists/aw?n onijagidijagan
that,that/iy?n
ordure,junk/?muti
léger,light/im?l?
unités,units/sipo
populaire,popular/olokiki
joueurs,players/o?ere
beth,beth/agbari
vincent,Vincent/?gangan
intelligence,intelligence/?gb?n
expériences,experiences/aw?n iriri
opérations,operations/Aw?n i??
arrange,arrangement/ilana
dragon,dragon/dragoni
sûrs,safe/lailewu
enterrer,bury/sin
mortel,mortal/iku eniyan
issue,outcome/abajade
demeure,remains/toku
mouche,fly/fo
donna,donna/do donna
octobre,october/o?u K?wa
commandé,order/pa??
procédure,procedure/ilana
objection,objection/atako
relax,Relax/Sinmi
appart,apartment/iy?wu
jouent,are playing/n ?ere
Lincoln,Lincoln/Lincoln
psy,psyche/psyche
manuel,manual/af?w??e
nombreuses,many/?p?l?p?
fit,fit/baamu
asile,asylum/ile iyas?t?
cherchait,was looking for/n wa
branche,plugged/?oki
white,White/funfun
sel,salt/iy?
déçu,disappointed/ibanuj?
tentative,attempt/igbiyanju
négatif,negative/odi
autorités,authorities/aw?n ala??
buter,abut/?d?
proposé,propose/gbero
manières,manners/aw?n i?ewahu
plaindre,complain/?aroye
employé,employee/o?i?? obinrin
blessée,injured/farapa
influence,influence/ipa
bonté,goodness/inuunre
Marcus,Marcus/Marcus
CIA,CIA/Cia
sauvages,wild/egan
personnelle,personal/ti ara ?ni
couvre,coverage/agbegbe
coucou,Hello/P?l? o
audience,audience/apej? eniyan
out,out/jade
impressionnant,impressive/iwunilori
renvoyer,dismiss/tuka
salade,salad/saladi
collègues,colleagues/aw?n ?l?gb?
chefs,chiefs/aw?n ijoye
entendue,heard/gb?
participer,participate/ikopa
réunis,gathered/pej?
plairait,would please/yoo j?w?
trompes,trunk/iti-igi
résister,resist/atako
technologie,technology/im?-?r?
patrie,country/oril?-ede
cousine,cousin/?m? ?gb?n obinrin
habits,clothes/a??
splendide,gorgeous/didara
Ross,Ross/Rows
abattu,beaten down/lu lul?
cran,gut/ifun
tuyau,pipe/opo
accueillir,welcome/kaab?
arracher,to tear out/lati ya jade
régime,diet/ounje
levez,lift/gbe soke
piqué,dive/b? somi
allume,alight/b?l?
promotion,promotion/igbega
juan,Juan/Juan
franc,franc/franc
éteint,extinct/parun
dessin,drawing/iyaworan
guère,hardly/nira
interroger,question/ibeere
paraître,appear/han
département,department/?ka ile i??
obéir,to obey/lati gb?ràn
renforts,reinforcements/aw?n it?s?na
lily,lily/lily
événements,events/Aw?n i??l?
ç,vs/vs
sain,healthy/ilera
devras,must/gb?d?
reprends,resume/b?r? pada
goutte,drop/ju sil?
cole,cole/Cole
souffert,suffer/jiya
excitant,exciting/?e l?yin
saurai,will be/yio je
charlotte,charlotte/Charlotte
sou,soup/?b?
ken,Ken/Ken
benny,benny/?kunrin
volée,stolen/ji
suprême,supreme/giga jul?
changent,change/yipada
revienne,come back/pada wa
solitaire,lonely/dawa
vérifiez,check/?ay?wo
souper,supper/ounj? aj?sun
événement,event/i??l?
remarque,remark/dasi
chevalier,knight/oloye
suffisamment,enough/ti to
charger,load/?ru
produire,produce/mu jade
repris,taken back/mu pada
garce,bitch/abo
étape,step/igbes?
motel,motel/ohun mota
autorisé,authorized/fun ni a??
principale,main/ak?k?
devenus,become/di
italie,Italy/Iwalaye
intéressante,interesting/iwuri
jonathan,Jonathan/Jonathan
invisible,invisible/airi
dégâts,damage/baj?
élever,raise/gbe soke
suggère,suggest/daba
éclater,to burst/lati burst
tabac,tobacco/taba
contacter,contact/kan
émotions,emotions/aw?n ?dun
rattraper,catch up/y?
efficace,efficient/se nkan
linge,laundry/ile-if???
goûter,to taste/lati lenu
possibilité,possibility/o?ee?e
canard,duck/p?p?y?
caporal,corporal/oye
déplacer,move/gbe
morale,moral/iwara
identifier,identify/fihan
pouvaient,could/Le
personnages,characters/ohun kik?
cabane,hut/ahere
attaché,attached/som?
cri,shout/pariwo
kg,kg/kg
séparés,separated/ya s?t?
traîne,dragged/fa
instinct,instinct/ifura
Raymond,Raymond/Ra raymond
pires,worse/buru
coûté,cost/idiyele
adjoint,assistant/olùrànlówó
Stephen,Stephen/Stephen
novembre,november/o?u?u
bonhomme,fellow/?l?gb? obinrin
appuie,support/atil?yin
laissera,will leave/yoo l? kuro
tuent,kill/pa
seules,only/nikan
personnalité,personality/eniyan
leo,leo/leo
scandale,scandal/ibaniloruk?j?
frigo,fridge/firiji
